chemical1	chemical2	textmining
CIDm00024759	CIDs00024759	0
CIDs91758695	CIDs00107694	230
CIDs91758695	CIDs11013287	230
CIDs91758695	CIDs11980957	328
CIDs91758695	CIDs00013078	162
CIDs91758695	CIDs00013109	468
CIDs91758695	CIDs00167486	194
CIDs91758695	CIDs00024706	452
CIDs91758695	CIDs24883487	271
CIDs91758695	CIDs00040973	505
CIDs91758695	CIDs00040976	216
CIDs91758695	CIDs00441140	173
CIDs91758695	CIDs44151751	822
CIDs91758695	CIDs00448537	230
CIDs91758695	CIDs00004634	892
CIDs91758695	CIDs54728656	586
CIDs91758695	CIDs57339757	188
CIDs91758695	CIDs00005745	154
CIDs91758695	CIDs00005857	195
CIDs91758695	CIDs00005991	664
CIDs91758695	CIDs00005994	274
CIDs91758695	CIDs00000604	150
CIDs91758695	CIDs00006279	345
CIDs91758695	CIDs00062930	820
CIDs91758695	CIDs00062957	271
CIDs91758695	CIDs00063020	451
CIDs91758695	CIDs06540478	589
CIDs91758695	CIDs00656646	239
CIDs91758695	CIDs00066466	343
CIDs91758695	CIDs67172434	218
CIDs91758695	CIDs00068329	209
CIDs91758695	CIDs06850789	156
CIDs91758695	CIDs06850791	177
CIDs91758695	CIDs00068873	329
CIDs91758695	CIDs06917715	452
CIDs91758695	CIDs00070549	291
CIDs91758695	CIDs91454290	768
CIDs91758695	CIDs00009270	210
CIDs91758695	CIDs00092727	260
CIDs91758695	CIDs00009416	151
CIDs91758695	CIDs09571023	663
CIDs91758695	CIDs09960701	742
CIDs91758691	CIDs00011657	453
CIDs91758691	CIDs00439230	177
CIDs91758691	CIDs54455600	505
CIDs91758691	CIDs57111687	762
CIDs91758691	CIDs00000783	151
CIDs91758680	CIDs00104784	151
CIDs91758680	CIDs00010900	176
CIDs91758680	CIDs00001145	179
CIDs91758680	CIDs00011571	235
CIDs91758680	CIDs00118534	209
CIDs91758680	CIDs11955614	284
CIDs91758680	CIDs00012313	151
CIDs91758680	CIDs00000124	274
CIDs91758680	CIDs00014789	153
CIDs91758680	CIDs00014833	194
CIDs91758680	CIDs00159410	440
CIDs91758680	CIDs00161874	387
CIDs91758680	CIDs18231607	311
CIDs91758680	CIDs18548295	230
CIDs91758680	CIDs19754075	151
CIDs91758680	CIDs00197737	194
CIDs91758680	CIDs00019860	360
CIDs91758680	CIDs00025251	173
CIDs91758680	CIDs00025960	164
CIDs91758680	CIDs00444972	155
CIDs91758680	CIDs00445629	152
CIDs91758680	CIDs00457982	176
CIDs91758680	CIDs46173809	174
CIDs91758680	CIDs49854502	219
CIDs91758680	CIDs05748165	172
CIDs91758680	CIDs00061549	231
CIDs91758680	CIDs00637090	154
CIDs91758680	CIDs06432046	189
CIDs91758680	CIDs00643833	227
CIDs91758680	CIDs00644350	203
CIDs91758680	CIDs00000066	230
CIDs91758680	CIDs00066534	152
CIDs91758680	CIDs00066603	217
CIDs91758680	CIDs00006914	215
CIDs91758680	CIDs71300310	210
CIDs91758680	CIDs00007245	155
CIDs91758680	CIDs00007271	170
CIDs91758680	CIDs00073824	358
CIDs91758680	CIDs00007866	152
CIDs91758680	CIDs91663255	210
CIDs91758680	CIDs09549198	349
CIDs91758680	CIDs09826589	150
CIDs91758425	CIDs11971486	581
CIDs91758425	CIDs01472726	355
CIDs91758425	CIDs21896400	388
CIDs91758425	CIDs00446220	175
CIDs91758425	CIDs05289554	154
CIDs91758425	CIDs54559870	178
CIDs91758425	CIDs05462328	239
CIDs91758425	CIDs06432717	218
CIDs91758425	CIDs00006582	274
CIDs91758425	CIDs72551594	328
CIDs91758425	CIDs00079723	291
